,AUC,Precision,Recall,Accuracy,F1_score,trainAUC,trainPrecision,trainRecall,trainAccuracy,trainF1score
0,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
1,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
2,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
3,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
4,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
5,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,0.9265873015873016,0.9411764705882353,0.8888888888888888,0.9347826086956522,0.9142857142857143
7,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
8,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
9,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,1.0,1.0,1.0,1.0,1.0
10,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
11,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
12,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
13,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
14,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
16,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
17,1.0,1.0,1.0,1.0,1.0,0.9265873015873016,0.9411764705882353,0.8888888888888888,0.9347826086956522,0.9142857142857143
18,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
19,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
20,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
22,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
23,1.0,1.0,1.0,1.0,1.0,0.9265873015873016,0.9411764705882353,0.8888888888888888,0.9347826086956522,0.9142857142857143
24,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
25,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,0.9265873015873016,0.9411764705882353,0.8888888888888888,0.9347826086956522,0.9142857142857143
27,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,0.9265873015873016,0.9411764705882353,0.8888888888888888,0.9347826086956522,0.9142857142857143
29,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
30,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
31,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
32,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,0.9265873015873016,0.9411764705882353,0.8888888888888888,0.9347826086956522,0.9142857142857143
34,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
35,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
36,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,1.0,1.0,1.0,1.0,1.0
37,0.9285714285714286,0.6666666666666666,1.0,0.8888888888888888,0.8,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,0.9265873015873016,0.9411764705882353,0.8888888888888888,0.9347826086956522,0.9142857142857143
39,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
40,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
41,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
42,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
43,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,1.0,0.9265873015873016,0.9411764705882353,0.8888888888888888,0.9347826086956522,0.9142857142857143
45,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
46,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
47,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
48,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
49,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9543650793650794,0.9444444444444444,0.9444444444444444,0.9565217391304348,0.9444444444444444
