,AUC,Precision,Recall,Accuracy,F1_score,trainAUC,trainPrecision,trainRecall,trainAccuracy,trainF1score
0,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
1,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
2,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9444444444444444,1.0,0.8888888888888888,0.9565217391304348,0.9411764705882353
3,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9444444444444444,1.0,0.8888888888888888,0.9565217391304348,0.9411764705882353
4,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
5,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
7,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
8,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
9,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
10,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,0.9444444444444444,1.0,0.8888888888888888,0.9565217391304348,0.9411764705882353
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
13,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9722222222222222,1.0,0.9444444444444444,0.9782608695652174,0.9714285714285714
14,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,0.9444444444444444,1.0,0.8888888888888888,0.9565217391304348,0.9411764705882353
20,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,0.9821428571428572,0.9473684210526315,1.0,0.9782608695652174,0.972972972972973
24,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
