,AUC,Precision,Recall,Accuracy,F1_score,trainAUC,trainPrecision,trainRecall,trainAccuracy,trainF1score
0,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
2,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
3,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
4,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
5,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
7,0.7142857142857143,0.6666666666666666,0.5,0.8333333333333334,0.5714285714285715,0.9821428571428572,0.875,1.0,0.9714285714285714,0.9333333333333333
8,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,0.9821428571428572,0.875,1.0,0.9714285714285714,0.9333333333333333
9,0.8035714285714286,0.6,0.75,0.8333333333333334,0.6666666666666665,1.0,1.0,1.0,1.0,1.0
10,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
12,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
13,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
14,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
15,0.625,1.0,0.25,0.8333333333333334,0.4,1.0,1.0,1.0,1.0,1.0
16,0.625,1.0,0.25,0.8333333333333334,0.4,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
17,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
18,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
19,0.625,1.0,0.25,0.8333333333333334,0.4,1.0,1.0,1.0,1.0,1.0
20,0.8392857142857143,0.75,0.75,0.8888888888888888,0.75,0.9821428571428572,0.875,1.0,0.9714285714285714,0.9333333333333333
21,0.75,1.0,0.5,0.8888888888888888,0.6666666666666666,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
22,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
23,0.75,1.0,0.5,0.8888888888888888,0.6666666666666666,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
24,0.9285714285714286,0.6666666666666666,1.0,0.8888888888888888,0.8,1.0,1.0,1.0,1.0,1.0
25,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
26,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
27,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
29,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
30,0.7142857142857143,0.6666666666666666,0.5,0.8333333333333334,0.5714285714285715,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
31,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
32,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
34,0.6785714285714286,0.5,0.5,0.7777777777777778,0.5,1.0,1.0,1.0,1.0,1.0
35,0.625,1.0,0.25,0.8333333333333334,0.4,1.0,1.0,1.0,1.0,1.0
36,0.5892857142857143,0.5,0.25,0.7777777777777778,0.3333333333333333,0.9821428571428572,0.875,1.0,0.9714285714285714,0.9333333333333333
37,0.75,1.0,0.5,0.8888888888888888,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
39,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
40,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
41,0.9642857142857143,0.8,1.0,0.9444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
43,0.875,1.0,0.75,0.9444444444444444,0.8571428571428571,1.0,1.0,1.0,1.0,1.0
44,0.75,1.0,0.5,0.8888888888888888,0.6666666666666666,0.9285714285714286,1.0,0.8571428571428571,0.9714285714285714,0.923076923076923
