,AUC,Precision,Recall,Accuracy,trainAUC,trainPrecision,trainRecall,trainAccuracy
71,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
72,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
73,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
74,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
75,0.9285714285714286,0.6666666666666666,1.0,0.8888888888888888,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
76,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
77,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
78,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
79,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
80,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
81,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
82,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
83,0.9285714285714286,0.6666666666666666,1.0,0.8888888888888888,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
84,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
85,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
87,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
88,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
89,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
90,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
91,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
92,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
93,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
94,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
95,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
97,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
98,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
99,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
