,AUC,Precision,Recall,Accuracy,trainAUC,trainPrecision,trainRecall,trainAccuracy
0,0.7142857142857143,0.6666666666666666,0.5,0.8333333333333334,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
1,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
2,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
3,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
4,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
5,0.8035714285714286,0.6,0.75,0.8333333333333334,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
7,0.6785714285714286,0.5,0.5,0.7777777777777778,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
8,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
9,0.8928571428571428,0.5714285714285714,1.0,0.8333333333333334,0.9411764705882353,1.0,0.8823529411764706,0.9555555555555556
10,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
11,0.875,1.0,0.75,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
12,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
13,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
14,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
15,0.875,1.0,0.75,0.9444444444444444,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
16,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9233193277310925,0.9375,0.8823529411764706,0.9333333333333333
17,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
18,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
19,0.625,1.0,0.25,0.8333333333333334,1.0,1.0,1.0,1.0
20,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
21,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
22,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
23,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
24,0.9285714285714286,0.6666666666666666,1.0,0.8888888888888888,0.9411764705882353,1.0,0.8823529411764706,0.9555555555555556
25,0.8035714285714286,0.6,0.75,0.8333333333333334,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
27,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
28,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
29,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
30,0.75,1.0,0.5,0.8888888888888888,0.9348739495798319,0.8888888888888888,0.9411764705882353,0.9333333333333333
31,0.75,1.0,0.5,0.8888888888888888,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
32,0.8392857142857143,0.75,0.75,0.8888888888888888,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
34,0.5892857142857143,0.5,0.25,0.7777777777777778,0.9821428571428572,0.9444444444444444,1.0,0.9777777777777777
35,0.625,1.0,0.25,0.8333333333333334,1.0,1.0,1.0,1.0
36,0.7142857142857143,0.6666666666666666,0.5,0.8333333333333334,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
37,0.6785714285714286,0.5,0.5,0.7777777777777778,1.0,1.0,1.0,1.0
38,0.8392857142857143,0.75,0.75,0.8888888888888888,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
39,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
40,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,0.8823529411764706,0.9555555555555556
41,1.0,1.0,1.0,1.0,0.9527310924369748,0.9411764705882353,0.9411764705882353,0.9555555555555556
42,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
43,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
45,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
46,0.875,1.0,0.75,0.9444444444444444,1.0,1.0,1.0,1.0
47,0.875,1.0,0.75,0.9444444444444444,0.9705882352941176,1.0,0.9411764705882353,0.9777777777777777
48,0.9642857142857143,0.8,1.0,0.9444444444444444,0.9233193277310925,0.9375,0.8823529411764706,0.9333333333333333
